CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
7034739,2015,2015-08-22,3801,2015-02-26,1931,000985,RICHM,4,5,7,3801,0,0,0,,0,3G3D,"ARGUELLO BL","ANZA ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,N,B,G,A,A,H,-,C,A,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.45874994,37.7793499
7035304,2014,2015-08-24,3801,2014-12-25,2245,A09861,INGLE,4,5,7,3801,0,0,0,,0,3H16E,"SANTOS ST","BLYTHDALE AV",50.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,07,21658,A,F,D,G,A,A,H,-,C,D,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.41878752,37.71085489
7202472,2016,2016-03-09,3801,2016-02-11,1100,1572,,4,5,7,3801,0,0,0,,0,,"3RD ST","BRYANT ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,07,21658,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.39584993,37.781309890000003
8042422,2016,2016-05-16,3801,2016-04-13,1050,001588,CENTR,3,5,7,3801,0,0,0,,0,3A14A,"SACRAMENTO ST","BATTERY ST",140.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,06,21750,,N,H,G,A,A,D,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.39968154,37.794241339999999
8046723,2016,2016-05-18,3801,2016-04-16,1614,2472,MISIS,6,5,7,3801,0,0,0,,0,3D15D,"18TH ST","SANCHEZ ST",212.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,17,22517,,N,B,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.42983913,37.76120006
8079182,2016,2017-02-11,3801,2016-06-23,1318,27,TARAV,4,5,7,3801,0,0,0,,0,3I1A,"19TH AV","IRVING ST",98.00,N,N,A,-,Y,SF,4,1,-,-,3.950,H,-,N,N,4,0,1,2,A,-,05,21650,1,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.47716386,37.76389683
9295599,2021,2021-07-30,3801,2021-06-30,0700,2709,PARK,3,5,7,3801,0,0,0,,0,3F13D,"POST ST","POST ST 2355",0.00,,-,B,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21801,,N,D,G,A,B,H,-,A,D,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.40245819091797,37.789054870605469
9468620,2023,2023-09-22,3801,2023-08-20,1144,4283,RICHM,7,5,7,3801,0,0,0,,0,2CAR,"ARGUELLO BL","PRESIDIO TER",150.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,B,G,A,A,H,-,A,-,0,,Y,,,Y,,A,07,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.45935821533203,37.787929534912109
9481518,2022,2022-08-10,3801,2022-07-19,1914,2733,SOUTH,2,5,7,3801,0,0,0,,0,0B3,"BRANNAN ST","5TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,17,22109,,F,C,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.39875793457031,37.776573181152344
9506574,2022,2022-10-10,3801,2022-08-19,2025,1817,TENDE,5,5,7,3801,0,0,0,,0,COJ,"ELLIS ST","JONES ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,04,21703,,F,-,G,A,-,H,-,C,A,0,,Y,,,Y,,A,01,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.41278076171875,37.784896850585938
