CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
9108253,1,1,Y,M,40,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,K,2012,FORD,A,01,,O,,-,-,2020
9108253,2,4,N,F,24,A,-,N,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,A,,-,-,2020
9522376,1,4,Y,M,80,A,-,N,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,A,,-,-,2022
8896094,1,1,Y,F,33,D,-,N,M,W,,-,3,-,-,"- ",,,N,-,0,1,B,2006,YAMAHA,C,03,,W,,-,-,2019
8896094,2,4,N,M,52,D,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2019
9316665,1,4,Y,M,24,-,-,S,-,-,,-,3,-,-,"- ",,,-,-,0,1,E,,-,L,04,,A,,-,-,2021
9316665,2,1,N,M,43,-,-,W,M,G,Y,-,3,-,-,"- ",,,-,-,0,0,B,2017,-,A,08,,B,,-,-,2021
9531199,1,1,Y,M,42,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,K,2023,-,-,,,A,,-,-,2022
9531199,2,4,N,M,29,A,-,E,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2022
8698125,1,4,N,M,80,A,-,-,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,L,04,,W,,-,-,2018
8594613,1,4,Y,M,32,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2018
8594613,2,1,N,M,22,A,-,N,M,P,Y,-,3,-,-,"- ",,,N,-,0,0,H,2008,FORD,A,01,,A,,-,-,2018
8122119,1,1,Y,F,32,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,K,2013,MINI,A,01,,A,,-,-,2016
8122119,2,4,N,M,52,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2016
9280868,1,4,Y,M,54,A,-,E,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2021
9280868,2,2,N,F,55,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,A,,-,-,2021
6997502,1,4,Y,M,30,G,G,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2014
9453164,1,1,Y,-,998,G,G,W,-,-,,-,-,-,,19,20001,A,A,-,0,0,B,2014,-,F,26,,,,-,-,2022
9453164,2,4,N,M,46,-,-,W,-,-,N,-,-,-,-,"- ",,,-,-,0,1,B,,-,L,04,,W,,-,-,2022
9178395,1,1,Y,M,33,A,-,N,M,G,N,-,3,-,-,"- ",,,N,-,0,0,E,2005,-,A,07,,B,,-,-,2020
9178395,2,4,N,M,56,A,-,S,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2020
8777269,1,1,Y,F,77,A,-,N,M,B,Y,-,3,-,-,"- ",,,-,-,0,0,B,2018,AUDI,A,01,,W,,-,-,2018
8777269,2,4,N,F,56,A,-,E,-,-,O,-,3,-,-,"- ",,,-,-,0,1,B,,-,L,04,,W,,-,-,2018
8685841,1,1,Y,M,48,A,-,N,M,A,Y,-,-,-,-,"- ",,,-,-,0,0,L,2007,ACURA,A,01,,H,,-,-,2018
8685841,2,4,N,F,34,A,-,-,-,-,O,-,-,-,-,"- ",,,-,-,0,1,B,,-,L,04,,A,,-,-,2018
8444459,1,1,Y,-,998,G,G,W,-,-,Y,-,-,-,-,"- ",,,N,-,0,0,B,,FORD,A,01,,W,,-,-,2017
8444459,2,4,N,F,39,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,A,,-,L,04,,W,,-,-,2017
8389047,1,4,N,M,12,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2017
9603692,1,4,Y,M,15,A,-,S,-,-,,-,3,-,,24,22450,A,A,-,0,1,B,,-,L,04,,H,,-,-,2023
9603692,2,1,N,M,34,A,-,E,M,G,,-,3,-,-,"- ",,,N,-,0,0,E,2017,-,A,01,,H,,-,-,2023
9506574,1,1,Y,-,998,G,G,W,-,-,,-,-,-,-,"- ",,,N,-,0,0,B,,-,A,01,,,,-,-,2022
9506574,2,4,N,M,48,G,G,E,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2022
9481518,1,1,Y,-,998,G,G,-,-,-,,-,-,-,,21,21209,A,A,-,0,0,H,2022,-,A,01,,,,-,-,2022
9481518,2,4,N,M,29,H,H,W,-,-,,-,-,-,-,"- ",,,-,-,0,1,B,,-,L,04,,W,,-,-,2022
9468620,1,1,Y,M,55,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,J,2020,-,A,07,,A,,-,-,2023
9468620,2,4,N,F,46,A,-,S,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2023
9295599,1,1,Y,F,67,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2014,-,A,01,,,,-,-,2021
9295599,2,4,N,F,44,A,-,E,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,A,,-,-,2021
