CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9468620,1,1,2,F,49,0,-,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2023
9468620,2,1,4,F,46,3,-,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2023
9481518,2,1,4,M,29,4,1,P,W,2,"SAN FRANCISCO","SAN FRANCISCO",2022
9522376,1,1,4,M,80,4,-,-,-,1,"SAN FRANCISCO","SAN FRANCISCO",2022
9603692,1,1,4,M,15,2,-,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2023
9108253,2,1,4,F,24,3,1,P,V,2,"SAN FRANCISCO","SAN FRANCISCO",2020
8896094,1,1,1,F,33,3,1,M,W,1,"SAN FRANCISCO","SAN FRANCISCO",2019
8896094,2,1,4,M,52,3,1,P,-,3,"SAN FRANCISCO","SAN FRANCISCO",2019
9316665,1,1,4,M,24,3,-,P,A,0,"SAN FRANCISCO","SAN FRANCISCO",2021
9531199,2,1,4,M,29,4,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2022
8046723,2,1,4,M,41,3,1,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2016
7035304,2,1,4,M,18,4,1,P,A,0,"SAN FRANCISCO","SAN FRANCISCO",2014
8491217,1,1,4,M,18,3,1,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2017
9295599,2,1,4,F,44,4,-,P,V,0,"SAN FRANCISCO","SAN FRANCISCO",2021
9280868,1,1,4,M,54,3,1,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2021
9280868,2,1,3,F,55,4,-,-,-,-,"SAN FRANCISCO","SAN FRANCISCO",2021
8042422,1,1,4,M,25,4,1,P,-,3,"SAN FRANCISCO","SAN FRANCISCO",2016
8042422,2,1,2,F,29,0,6,P,H,0,"SAN FRANCISCO","SAN FRANCISCO",2016
7202472,2,1,4,M,26,3,1,P,V,3,"SAN FRANCISCO","SAN FRANCISCO",2016
